,Date Time,Name,Training Time,Dataset Size,Train Set,Seed,Frame Size,Hop Length,Accuracy,Precision,Recall,F1,Epochs,Hidden Dimensions,Hidden Layers,Dropout,Learning Rate,Gamma
52,21/04/2023 15:54:29,dsc_dataset-guided_accuracy,33.5286197662354,21596,0.9,4052,256,16,0.838235259056091,0.847671508789063,0.838235259056091,0.826053380966187,20,8,5,0.1,5e-06,0.9
53,21/04/2023 16:03:06,dsc_dataset-guided_accuracy,40.229640007019,21596,0.9,4052,256,16,0.852941155433655,0.859261810779572,0.852941155433655,0.845990061759949,24,8,5,0.1,5e-06,0.9
54,21/04/2023 16:04:36,dsc_dataset-guided_accuracy,30.7108571529388,21596,0.9,4052,256,16,0.860294103622437,0.874683022499085,0.860294103622437,0.848229467868805,18,8,5,0.1,5e-06,0.9
55,21/04/2023 16:05:50,dsc_dataset-guided_accuracy,43.2205936908722,21596,0.9,4052,256,16,0.882352948188782,0.891225934028626,0.882352948188782,0.879720330238342,26,8,5,0.2,5e-06,0.9
56,21/04/2023 16:08:01,dsc_dataset-guided_accuracy,79.9897994995117,21596,0.9,4052,256,16,0.889705836772919,0.892123639583588,0.889705836772919,0.886465728282928,45,8,5,0.2,5e-06,0.9
57,21/04/2023 16:09:28,dsc_dataset-guided_accuracy,43.7481644153595,21596,0.9,4052,256,16,0.8970587849617,0.906523168087006,0.8970587849617,0.894463896751404,26,8,5,0.2,5e-06,0.9
58,21/04/2023 16:11:25,dsc_dataset-guided_accuracy,54.5840198993683,21596,0.9,4052,256,16,0.904411733150482,0.91208416223526,0.904411733150482,0.902349054813385,33,8,5,0.2,5e-06,0.9
59,21/04/2023 16:12:58,dsc_dataset-guided_accuracy,55.984256029129,21596,0.9,4052,256,16,0.919117629528046,0.926483750343323,0.919117629528046,0.915770769119263,34,8,5,0.2,5e-06,0.9
60,21/04/2023 16:25:31,dsc_dataset-guided_accuracy,78.5341765880585,21596,0.9,4052,256,16,0.91911768913269,0.924621224403381,0.91911768913269,0.918843686580658,48,8,5,0.2,5e-06,0.9
61,21/04/2023 16:27:13,dsc_dataset-guided_accuracy,56.4342746734619,21596,0.9,4052,256,16,0.882352948188782,0.89020562171936,0.882352948188782,0.879995107650757,34,8,5,0.2,5e-06,0.9
62,21/04/2023 16:30:17,dsc_dataset-guided_exaggerated_accuracy,80.1503942012787,21590,0.9,4052,256,16,0.992647051811218,0.992857158184052,0.992647051811218,0.992645442485809,8,8,5,0.2,5e-06,0.9
63,21/04/2023 16:35:31,dsc_dataset-guided_accuracy,134.638740301132,21596,0.9,4052,256,8,0.955388486385345,0.958658039569855,0.955388486385345,0.955366551876068,41,8,5,0.2,5e-06,0.9
64,21/04/2023 17:01:39,dsc_dataset-guided_accuracy,64.1980535984039,21596,0.9,4052,256,8,0.866110563278198,0.880233347415924,0.866110563278198,0.861698389053345,19,8,5,0.2,5e-06,0.9
65,21/04/2023 17:20:56,dsc_dataset-guided_accuracy,64.4403095245361,21596,0.9,4052,256,8,0.877249777317047,0.888114333152771,0.877249777317047,0.873368918895721,19,8,5,0.2,5e-06,0.9
66,21/04/2023 17:24:22,dsc_dataset-guided_exaggerated_accuracy,82.0204479694366,21590,0.9,4052,256,16,0.992647051811218,0.992857158184052,0.992647051811218,0.992645442485809,10,8,5,0.2,5e-06,0.9
67,21/04/2023 17:54:19,dsc_dataset-guided_exaggerated_accuracy,12.2696964740753,21590,0.9,4052,256,16,0.992647051811218,0.992857158184052,0.992647051811218,0.992645442485809,5,7,3,0.1,5e-06,0.9
68,21/04/2023 17:55:15,dsc_dataset-guided_exaggerated_accuracy,12.2161200046539,21590,0.9,4052,256,16,0.985294103622436,0.986111104488373,0.985294103622436,0.985281407833099,8,7,3,0.5,5e-07,0.9
69,21/04/2023 17:56:15,dsc_dataset-guided_exaggerated_accuracy,24.4257860183716,21590,0.9,4052,256,16,0.992647051811218,0.992857158184052,0.992647051811218,0.992645442485809,7,7,3,0.5,5e-07,0.9
70,21/04/2023 18:09:56,dsc_dataset-guided_highres_accuracy,18.3104574680328,21587,0.9,4052,256,16,0.977941155433655,0.97972971200943,0.977941155433655,0.977898180484772,8,7,3,0.1,5e-06,0.9
71,21/04/2023 18:42:24,dsc_dataset-guided_long_accuracy,19.58517098426819,2430,0.9,4052,256,16,0.9852392077445984,0.9853425621986388,0.9852392077445984,0.985184371471405,7,8,3,0.1,5e-06,0.9
72,21/04/2023 18:42:53,dsc_dataset-guided_long_accuracy,19.51753044128418,2430,0.9,4052,256,16,0.9778862595558168,0.9784880876541138,0.9778862595558168,0.9777668118476868,7,8,3,0.1,5e-06,0.9
73,21/04/2023 18:43:45,dsc_dataset-guided_long_accuracy,19.66277313232422,2430,0.9,4052,256,16,0.9815078973770142,0.9815078973770142,0.9815078973770142,0.9814815521240234,7,8,3,0.1,5e-06,0.9
74,21/04/2023 18:44:21,dsc_dataset-guided_long_accuracy,22.74230456352234,2430,0.9,4052,256,16,0.988860845565796,0.9889657497406006,0.988860845565796,0.9888864755630492,7,8,4,0.1,5e-06,0.9
75,21/04/2023 18:46:22,dsc_dataset-guided_long_accuracy,35.1180694103241,2430,0.9,4052,256,16,0.9926470518112184,0.9927536249160768,0.9926470518112184,0.9925922155380248,7,8,8,0.1,5e-06,0.9
76,21/04/2023 18:47:18,dsc_dataset-guided_accuracy,35.15675640106201,2430,0.9,4052,256,16,0.988860845565796,0.9889657497406006,0.988860845565796,0.9888864755630492,7,8,8,0.1,5e-06,0.9
77,21/04/2023 18:49:53,dsc_dataset-guided_accuracy,35.11245679855347,2430,0.9,4052,256,16,0.9408472776412964,0.9438709616661072,0.9408472776412964,0.9411200284957886,7,8,8,0.1,5e-06,0.9
78,21/04/2023 18:52:56,dsc_dataset-guided_long_accuracy,19.58915615081787,2430,0.9,4052,256,16,0.9704784750938416,0.9710607528686525,0.9704784750938416,0.970355749130249,7,7,3,0.1,5e-06,0.9
