,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
599,0.4825947,1.0,1.0,0.1769445,0.0,0.0,0.0,0.0,0.0,-0.009495834,0.04048276,-0.1439397,-0.2713623,-1.247925,-0.2253418
600,0.433522,1.0,1.0,0.1611441,0.0,0.0,0.0,0.0,0.0,0.01824313,-0.003248777,-0.04923147,-0.2358398,-1.234619,-0.2058105
601,0.3122526,1.0,1.0,0.113854,0.0,0.0,0.0,0.0,0.0,0.07275745,-0.04782552,-0.07183482,-0.1870117,-1.211792,-0.1607666
602,0.1690417,1.0,1.0,0.08240198,0.0,0.0,0.0,0.0,0.0,0.08196913,-0.07672112,-0.08221904,-0.1851807,-1.14563,-0.1540527
603,-0.01960851,1.0,1.0,0.05099206,0.0,0.0,0.0,0.0,0.0,0.04498306,-0.04748212,-0.06122695,-0.1740723,-1.080322,-0.1743164
604,-0.2642672,1.0,1.0,0.04314433,0.0,0.0,0.0,0.0,0.0,0.03148558,-0.06621967,-0.08621052,-0.1680908,-1.000732,-0.1992188
605,-0.5072563,1.0,1.0,0.035298,0.0,0.0,0.0,0.0,0.0,0.02274182,-0.1511993,-0.2221757,-0.1925049,-0.977417,-0.1872559
606,-0.6118565,0.9717721,1.0,0.01960851,0.0,0.0,0.0,0.0,0.0,-0.07696369,-0.1581711,-0.2596213,-0.1906738,-0.9953613,-0.1461182
607,-0.6911871,0.9069334,1.0,-0.01960851,0.0,0.0,0.0,0.0,0.0,-0.07922018,-0.07272261,-0.1516929,-0.2038574,-1.014404,-0.1274414
608,-0.7933249,0.7933249,1.0,-0.06669273,0.0,0.0,0.0,0.0,0.0,-0.09821302,-0.05198043,-0.1644381,-0.1956787,-1.05188,-0.1104736
609,-0.9051422,0.6658976,1.0,-0.1296006,0.0,0.0,0.0,0.0,0.0,-0.2284049,-0.08521439,-0.2863801,-0.1624756,-1.038696,-0.0690918
610,-0.9673843,0.5453978,1.0,-0.1532514,0.0,0.0,0.0,0.0,0.0,-0.1234535,-0.03998494,-0.1014618,-0.1229248,-0.9655762,-0.08850098
611,-1.0,0.4091095,1.0,-0.1690417,0.0,0.0,0.0,0.0,0.0,-0.1933221,-0.08623251,-0.1185846,-0.105835,-0.8505859,-0.1257324
612,-1.0,0.3202776,1.0,-0.1927661,0.0,0.0,0.0,0.0,0.0,-0.1189737,-0.09507896,-0.05711281,-0.09777832,-0.809082,-0.1451416
613,-1.0,0.2722459,1.0,-0.2086106,0.0,0.0,0.0,0.0,0.0,-0.02168193,-0.05351286,0.00622779,-0.08740234,-0.7996826,-0.1586914
614,-1.0,0.2244794,1.0,-0.2244794,0.0,0.0,0.0,0.0,0.0,-0.0224897,-0.1189455,0.08621052,-0.09130859,-0.7653809,-0.2290039
615,-1.0,0.2086106,1.0,-0.2403741,0.0,0.0,0.0,0.0,0.0,0.0004997711,-0.05522471,0.07071761,-0.1008301,-0.7258301,-0.2521973
616,-1.0,0.2006854,1.0,-0.2642672,0.0,0.0,0.0,0.0,0.0,0.03961939,-0.06470603,0.1885047,-0.1236572,-0.7342529,-0.2819824
617,-1.0,0.2006854,1.0,-0.2722459,0.0,0.0,0.0,0.0,0.0,0.06366748,-0.01014989,0.1335633,-0.09924316,-0.7636719,-0.28125
618,-1.0,0.2006854,1.0,-0.2882255,0.0,0.0,0.0,0.0,0.0,0.2688658,0.01366708,0.3598658,-0.1265869,-0.8551025,-0.2636719
619,-1.0,0.2006854,1.0,-0.3042357,0.0,0.0,0.0,0.0,0.0,0.3566182,0.0380801,0.4111524,-0.1450195,-0.9449463,-0.2924805
620,-1.0,0.2006854,1.0,-0.3202776,0.0,0.0,0.0,0.0,0.0,0.4148266,0.05072874,0.4515614,-0.1785889,-1.001343,-0.2921143
621,-1.0,0.2006854,0.854404,-0.3208848,0.0,0.0,0.0,0.0,0.0,0.3820601,0.06421798,0.4270374,-0.2142334,-1.055298,-0.2893066
622,-1.0,0.2244794,0.6116935,-0.2966897,0.0,0.0,0.0,0.0,0.0,0.1192051,0.02773956,0.1771833,-0.2047119,-1.101318,-0.2840576
623,-1.0,0.2962267,0.226034,-0.1478988,0.0,0.0,0.0,0.0,0.0,0.0328721,0.06120465,0.2816113,-0.1959229,-1.086792,-0.2282715
624,-1.0,0.3686016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07220261,0.03367917,0.1123408,-0.149292,-1.051392,-0.1744385
625,-0.9890714,0.4647444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1453616,0.06781726,0.2394173,-0.1419678,-1.097168,-0.1865234
626,-0.965771,0.520642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08846278,0.08621415,0.2751354,-0.2039795,-1.220093,-0.1069336
627,-0.9590133,0.5531238,-0.08650518,0.0,0.0,0.0,0.0,0.0,0.0,-0.0856913,0.07413814,0.3016476,-0.2446289,-1.321533,-0.07910156
628,-0.9501057,0.552572,-0.2156863,0.0,0.0,0.0,0.0,0.0,0.0,-0.1782393,0.04154181,0.3199928,-0.2573242,-1.343018,-0.08532715
629,-0.9501057,0.552572,-0.3541546,-0.009238816,0.0,0.0,0.0,0.0,0.0,-0.3565033,-0.01449424,0.3186719,-0.244873,-1.271851,-0.08532715
630,-0.9501057,0.552572,-0.4750387,-0.05053603,0.0,0.0,0.0,0.0,0.0,-0.2461373,-0.03448421,0.1269419,-0.2329102,-1.144653,-0.1074219
631,-0.9590133,0.5531238,-0.5969664,-0.1108141,0.0,0.0,0.0,0.0,0.0,-0.5380255,-0.1189507,0.1094534,-0.2664795,-0.9350586,-0.1767578
632,-0.9584652,0.5448537,-0.6706212,-0.1209317,0.0,0.0,0.0,0.0,0.0,-0.4798157,-0.1423816,-0.02944796,-0.289917,-0.8151855,-0.2249756
633,-0.9652384,0.5124105,-0.7256573,-0.1228036,0.0,0.0,0.0,0.0,0.0,-0.1785457,-0.07589347,-0.07935366,-0.2937012,-0.7597656,-0.2734375
634,-0.9961495,0.4325908,-0.8174983,-0.1254765,0.0,0.0,0.0,0.0,0.0,-0.2532094,-0.156081,-0.2710645,-0.2747803,-0.7717285,-0.2836914
635,-1.0,0.3444016,-0.8450723,-0.1261873,0.0,0.0,0.0,0.0,0.0,-0.2094493,-0.1370569,-0.3338969,-0.2451172,-0.7996826,-0.2729492
636,-1.0,0.2562958,-0.8450723,-0.1261873,0.0,0.0,0.0,0.0,0.0,-0.1214444,-0.05472494,-0.2024073,-0.2364502,-0.791626,-0.239624
637,-1.0,0.1848525,-0.7718366,-0.131777,0.0,0.0,0.0,0.0,0.0,-0.2703771,-0.007207373,-0.368723,-0.2376709,-0.8896484,-0.194458
638,-1.0,0.1532514,-0.5520944,-0.1230784,0.0,0.0,0.0,0.0,0.0,-0.09895267,0.0532822,-0.08649708,-0.1914063,-1.081177,-0.1932373
