,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
30,0.7323431,0.892418,0.9309547,0.6592598,0.0,0.0,0.0,0.0,0.0,1.223471,0.9919947,-1.061381,-0.1411133,-1.703003,0.3569336
31,0.7323431,0.892418,0.9790122,0.5874074,0.0,0.0,0.0,0.0,0.0,0.8794317,1.139189,-0.9994208,-0.1153564,-1.748413,0.3292236
32,0.6996371,0.9075292,1.0,0.5309846,0.0,0.0,0.0,0.0,0.0,0.4170736,1.399417,-1.003581,-0.05981445,-1.544556,0.1289063
33,0.6845161,0.9327032,1.0,0.5144897,0.0,0.0,0.0,0.0,0.0,0.08521792,0.7112322,-0.4643252,-0.0390625,-1.246826,-0.08081055
34,0.6682492,0.9403506,1.0,0.4908059,0.0,0.0,0.0,0.0,0.0,0.2234632,1.318189,-0.7743815,-0.0645752,-0.993042,-0.2800293
35,0.6682492,0.9403506,1.0,0.433522,0.0,0.0,0.0,0.0,0.0,0.1914469,0.5872576,-0.3208465,-0.1149902,-0.9549561,-0.2629395
36,0.6688248,0.9491705,1.0,0.3444016,0.0,0.0,0.0,0.0,0.0,0.5315591,1.150885,-0.5964133,-0.00378418,-1.073364,-0.1833496
37,0.6688248,0.9491705,1.0,0.2642672,0.0,0.0,0.0,0.0,0.0,0.5185876,1.053129,-0.5955734,0.0793457,-1.293945,-0.1734619
38,0.6688248,0.9491705,1.0,0.1374799,0.0,0.0,0.0,0.0,0.0,0.1854302,0.4985623,-0.3181302,0.1020508,-1.303589,-0.215332
39,0.6688248,0.9491705,0.8739024,-0.165541,0.0,0.0,0.0,0.0,0.0,0.1914947,0.8937927,-0.6264642,0.04711914,-1.322266,-0.2106934
40,0.6688248,0.9491705,0.5761137,-0.5309283,0.0,0.0,0.0,0.0,0.0,0.09830451,0.8237079,-0.6238307,0.1148682,-1.256958,-0.2913818
41,0.6688248,0.9491705,0.3846029,-0.8585581,0.0,0.0,0.0,0.0,0.0,-0.001999491,0.6847084,-0.5767544,0.07385254,-1.350708,-0.2207031
42,0.6688248,0.9491705,0.3263068,-0.9631947,0.0,0.0,0.0,0.0,0.0,-0.02191453,0.2892718,-0.2410598,0.104248,-1.343506,-0.2298584
43,0.6682492,0.9403506,0.2483314,-1.0,0.0,0.0,0.0,0.0,0.0,-0.05972552,0.5595162,-0.4045805,0.1201172,-1.419556,-0.1635742
44,0.6772434,0.9497437,0.1927661,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1436894,0.4867975,-0.3043736,0.131958,-1.44104,-0.2005615
45,0.6935343,0.9420841,0.1611441,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1384479,0.1891788,-0.1092089,0.1213379,-1.407593,-0.2143555
46,0.725636,0.9180699,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.4039811,0.2653109,-0.1569336,0.1202393,-1.265747,-0.2166748
47,0.7572768,0.885493,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.4861781,0.1954934,-0.1364804,0.09057617,-1.106934,-0.1903076
48,0.7976347,0.8537496,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.2461347,0.06412882,-0.07197192,0.1217041,-0.980835,-0.1746826
49,0.836441,0.7964199,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5267801,0.0959598,-0.1869222,0.1566162,-0.8220215,-0.1826172
50,0.8612111,0.7810984,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5200118,0.08396155,-0.2116531,0.1074219,-0.755127,-0.1818848
51,0.892418,0.7323431,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5251553,0.1090598,-0.231536,0.03601074,-0.630127,-0.2116699
52,0.9168916,0.7086892,0.1532514,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5120324,0.08932762,-0.2325934,0.008178711,-0.5217285,-0.2226563
53,0.9409287,0.6766679,0.1453634,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1979228,0.03091102,-0.1070352,-0.004272461,-0.4519043,-0.1883545
54,0.9728824,0.6285701,0.1296006,-1.0,0.0,0.0,0.0,0.0,0.0,-0.1613367,0.007189673,-0.1846139,0.09301758,-0.4001465,-0.1728516
55,1.0,0.5723898,0.09812176,-1.0,0.0,0.0,0.0,0.0,0.0,0.09896018,-0.07771811,-0.1924199,0.1435547,-0.5454102,-0.131958
56,1.0,0.5072563,0.05884144,-1.0,0.0,0.0,0.0,0.0,0.0,0.1181959,-0.07821418,-0.1049519,0.1915283,-0.7800293,-0.1137695
57,1.0,0.4498426,-0.01176485,-1.0,0.0,0.0,0.0,0.0,0.0,0.1054603,-0.09721339,-0.08321866,0.230957,-1.063843,-0.06896973
58,1.0,0.4091095,-0.07240566,-0.8345705,0.0,0.0,0.0,0.0,0.0,0.05904717,-0.1941592,-0.002496862,0.2290039,-1.384888,0.08837891
59,1.0,0.4009901,-0.05022722,-0.3102269,0.0,0.0,0.0,0.0,0.0,-0.065148,-0.1858135,0.1560939,0.2329102,-1.382568,0.05883789
60,1.0,0.4009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05051875,-0.09527052,0.1490188,0.222168,-1.220093,-0.1982422
61,1.0,0.3928797,0.06444506,0.2139576,0.0,0.0,0.0,0.0,0.0,-0.02748741,-0.1067011,0.2633794,0.416626,-1.365479,-0.04174805
