,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
10,0.7582312,0.6243732,0.2270434,0.43371603,0.2338536,0.19764236,0.0,0.0,0.61237246,0.048664343,0.016827883,0.026725655,0.09409205,0.91330665,0.10494264
11,0.7676227,0.6430088,0.23066647,0.43751025,0.2338536,0.19764236,0.0,0.0,0.6343057,0.053846568,0.01714448,0.027980661,0.09444828,0.9271623,0.107305214
12,0.78718966,0.64584744,0.23132762,0.43770903,0.2338536,0.19764236,0.0,0.0,0.63737744,0.054028686,0.01714961,0.028072894,0.096213795,0.94726485,0.10756863
13,0.7933169,0.6663677,0.23207928,0.44719547,0.2338536,0.19764236,0.0,0.0,0.6614378,0.05409938,0.017165992,0.028528223,0.09670825,0.9601113,0.110168085
14,0.81228405,0.6690193,0.23207928,0.44719547,0.2338536,0.19764236,0.0,0.0,0.6614378,0.05532729,0.017207652,0.029285701,0.09779722,0.9802201,0.11107571
15,0.8287034,0.6769428,0.23207928,0.44719547,0.2338536,0.19764236,0.0,0.0,0.6846532,0.05612021,0.01748901,0.029288316,0.09871499,0.993728,0.11294111
16,0.8318985,0.68662816,0.23207928,0.44719547,0.2338536,0.19764236,0.0,0.0,0.6875,0.057125334,0.01780871,0.029342828,0.10179381,1.0126569,0.113581516
17,0.83254415,0.6821339,0.23221962,0.46406472,0.16535945,0.19764236,0.0,0.0,0.69033504,0.060717933,0.017890822,0.029480925,0.10349934,1.0120102,0.11881717
18,0.83192295,0.68176734,0.23226275,0.46421677,0.16535945,0.19764236,0.0,0.0,0.6931585,0.05989205,0.017863298,0.029083483,0.10153954,1.0107428,0.11817376
19,0.81307715,0.7019478,0.23237322,0.46436062,0.0,0.19764236,0.0,0.0,0.6875,0.06200046,0.018552609,0.029200627,0.10129391,1.0124406,0.120823175
20,0.80300784,0.70890385,0.23237322,0.46436062,0.0,0.19764236,0.0,0.0,0.69597054,0.067074634,0.019802755,0.033650484,0.09589683,1.0102477,0.12042049
21,0.80031216,0.7113764,0.23274715,0.46427813,0.0,0.19764236,0.0,0.0,0.69033504,0.06671137,0.019514633,0.032005265,0.09950638,1.0142627,0.12104029
22,0.7920276,0.7200526,0.26675552,0.47605455,0.0,0.19764236,0.0,0.0,0.7043392,0.0678427,0.01962628,0.032091036,0.09898201,1.0104706,0.124251835
23,0.7818629,0.7297453,0.26693416,0.48206264,0.0,0.19764236,0.0,0.0,0.6931585,0.067909956,0.019503603,0.032173388,0.09910418,1.0117373,0.12442033
24,0.76750916,0.73934203,0.25261244,0.45334497,0.0,0.19764236,0.0,0.0,0.70156074,0.06778693,0.01953809,0.032399688,0.09921757,1.0104098,0.124484114
25,0.7519844,0.74811816,0.24200916,0.41875786,0.0,0.19764236,0.0,0.0,0.7043392,0.067915075,0.019733416,0.032338735,0.09777465,1.0091088,0.124188475
26,0.7366659,0.7564751,0.24145429,0.4025525,0.15309311,0.19764236,0.0,0.0,0.70986354,0.06765877,0.019510033,0.031931687,0.0964141,1.0106168,0.12481576
27,0.719177,0.7669846,0.24166693,0.40860304,0.1875,0.19764236,0.0,0.0,0.70710677,0.067915075,0.019360278,0.031685594,0.095495395,1.0103576,0.12507692
28,0.70993346,0.78476137,0.24250309,0.44457603,0.1875,0.19764236,0.0,0.0,0.70156074,0.06789074,0.019424906,0.031295985,0.09412416,1.0101702,0.12535168
29,0.7015128,0.79534864,0.23775816,0.4645246,0.1875,0.19764236,0.0,0.0,0.70156074,0.06761917,0.018702451,0.031134594,0.09467532,1.0088646,0.12666145
30,0.6997677,0.7998633,0.2376726,0.4592056,0.1875,0.19764236,0.0,0.0,0.69877124,0.067294754,0.017688697,0.030626,0.09611194,1.0116671,0.12514058
31,0.7075566,0.7997782,0.23769277,0.4593094,0.1875,0.16535945,0.0,0.0,0.71260965,0.067674555,0.017826375,0.029892102,0.09520242,1.0100956,0.12693036
32,0.7060026,0.8064581,0.23808049,0.46147674,0.1875,0.0,0.0,0.0,0.72078514,0.067761645,0.017810713,0.029757518,0.09550042,1.0106153,0.12682396
33,0.6947502,0.82240933,0.24406365,0.47149748,0.1875,0.0,0.0,0.0,0.73686415,0.068457685,0.017524906,0.02937681,0.09504656,1.009059,0.1297804
34,0.68605703,0.8345846,0.24854106,0.48771647,0.1875,0.0,0.0,0.0,0.72886896,0.06900618,0.017365038,0.029346883,0.095580935,1.0112169,0.12935306
35,0.67892784,0.84098566,0.24584009,0.4830413,0.1875,0.0,0.0,0.0,0.72886896,0.069595724,0.017147474,0.029346308,0.095174216,1.0098017,0.13200226
36,0.6778839,0.84266824,0.26765382,0.48700455,0.1875,0.0,0.0,0.0,0.73420876,0.06901828,0.016757574,0.029483913,0.09206806,1.0091327,0.13008241
37,0.67788386,0.84339446,0.2907602,0.46373048,0.1875,0.0,0.0,0.0,0.72886896,0.06902995,0.016785014,0.0294464,0.09065859,1.0098877,0.13172446
38,0.66769546,0.85484535,0.29344407,0.46592847,0.1875,0.0,0.0,0.0,0.73420876,0.069703236,0.017112019,0.029478597,0.086528875,1.0094397,0.13076049
