,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
19,0.83895755,0.6917439,0.23207928,0.44719547,0.2338536,0.19764236,0.0,0.0,0.6875,0.057431377,0.01780888,0.029449107,0.10314563,1.0127913,0.11358605
20,0.8354332,0.6799799,0.23226275,0.46421677,0.16535945,0.19764236,0.0,0.0,0.6931585,0.060759537,0.01787592,0.029217556,0.1027744,1.0116853,0.118771315
21,0.80438286,0.7086425,0.23237322,0.46436062,0.0,0.19764236,0.0,0.0,0.69877124,0.06657397,0.01873251,0.030491509,0.09931147,1.0106997,0.12056079
22,0.7966192,0.7153346,0.24807967,0.4650594,0.0,0.19764236,0.0,0.0,0.69877124,0.06750608,0.0196025,0.032058768,0.10040425,1.0129585,0.12193433
23,0.7753229,0.73455936,0.2602315,0.4669232,0.0,0.19764236,0.0,0.0,0.6931585,0.06773039,0.019512007,0.032251067,0.099007554,1.0123849,0.123726785
24,0.7442033,0.75230944,0.24152113,0.4027086,0.088388346,0.19764236,0.0,0.0,0.69877124,0.067642756,0.019682162,0.03233511,0.09761291,1.0117092,0.12283989
25,0.71115386,0.77623206,0.2426736,0.42676243,0.1875,0.19764236,0.0,0.0,0.69877124,0.06698307,0.01933109,0.03151778,0.09580077,1.0121533,0.124472074
26,0.69659114,0.7998633,0.2376332,0.45900497,0.1875,0.19764236,0.0,0.0,0.69033504,0.06760955,0.018492298,0.030675646,0.09635994,1.0116104,0.12419885
27,0.7108074,0.7997318,0.23769277,0.4593094,0.1875,0.10825317,0.0,0.0,0.71260965,0.06751338,0.017833864,0.02988149,0.0961681,1.0099921,0.1269153
28,0.69032764,0.8292434,0.2505536,0.47817853,0.1875,0.0,0.0,0.0,0.73686415,0.06843452,0.017415794,0.029375466,0.09564774,1.0101696,0.12965012
29,0.67797446,0.8417318,0.2522212,0.4829292,0.1875,0.0,0.0,0.0,0.72886896,0.06882788,0.016757311,0.02947762,0.092808284,1.0104393,0.13084376
