,Left Stick X RMS,Left Stick Y RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
28,0.80710286,0.76564497,0.7450636,0.57573444,0.0,0.0,0.0,0.0,0.7756046,0.033604063,0.016570775,0.022171568,0.07905339,0.97783715,0.30494347
29,0.798449,0.7869268,0.70192504,0.5840613,0.0,0.0,0.0,0.0,0.77055174,0.034695573,0.016198192,0.02198615,0.084015734,0.976554,0.30513224
30,0.780627,0.8157613,0.65589535,0.5838632,0.0,0.0,0.0,0.0,0.76034534,0.034458514,0.016163522,0.022827934,0.084081516,0.9809653,0.30342168
31,0.75484127,0.8518611,0.60638195,0.5836534,0.0,0.0,0.0,0.0,0.7831228,0.03563189,0.01632229,0.02289595,0.08666198,0.97446984,0.31485713
32,0.7330315,0.87871945,0.5543769,0.57569116,0.0,0.0,0.0,0.0,0.77055174,0.034748126,0.016413748,0.023135886,0.08728863,0.9720457,0.3144441
33,0.71711564,0.89524746,0.57231617,0.5338296,0.0,0.0,0.0,0.0,0.7781187,0.035814013,0.015958844,0.023287032,0.08941427,0.97653335,0.31365493
34,0.69376326,0.9044198,0.6233664,0.4725059,0.0,0.0,0.0,0.0,0.788095,0.037883274,0.01905847,0.02531974,0.10014185,0.9708863,0.33068597
35,0.6686815,0.9123495,0.6632193,0.4420909,0.0,0.0,0.0,0.0,0.7730823,0.039589293,0.018732294,0.02371858,0.10073316,0.97713727,0.3200365
36,0.6564315,0.9184063,0.66436565,0.4390213,0.0,0.0,0.0,0.0,0.7831228,0.040667027,0.01879127,0.023574023,0.099114195,0.9795698,0.32086775
37,0.6593161,0.9143941,0.65560144,0.3985296,0.0,0.0,0.0,0.0,0.7930361,0.03784873,0.018267317,0.024083043,0.10568395,0.96521014,0.34115347
38,0.6580453,0.9137158,0.65032107,0.33524236,0.0,0.0,0.0,0.0,0.78062475,0.04292417,0.018482057,0.025488257,0.09918892,0.97314256,0.32335278
39,0.6423758,0.91620547,0.63333637,0.32284245,0.0,0.0,0.0,0.0,0.7856128,0.042501353,0.018271595,0.024369014,0.099471696,0.9790792,0.32138756
40,0.61938477,0.923761,0.58635515,0.3023022,0.0,0.0,0.0,0.0,0.80282706,0.042429637,0.018622566,0.024235295,0.10180552,0.9731108,0.3284253
41,0.59689206,0.9210381,0.5303889,0.29867283,0.0,0.0,0.0,0.0,0.78062475,0.042362425,0.018520381,0.024233203,0.100285135,0.9764803,0.31477892
42,0.56936157,0.8960051,0.47391427,0.2941871,0.0,0.0,0.0,0.0,0.788095,0.04278644,0.018495793,0.023386804,0.10575373,0.9842477,0.31158367
43,0.5353293,0.90253216,0.48231572,0.28333575,0.0,0.0,0.0,0.0,0.8244316,0.04257364,0.021114767,0.025590498,0.12649934,0.97185826,0.3362022
44,0.4922005,0.91727746,0.5366313,0.28783146,0.0,0.0,0.0,0.0,0.8244316,0.044075534,0.02030321,0.023740709,0.120929115,0.9832681,0.32638317
45,0.44506317,0.9324133,0.59194094,0.29098657,0.0,0.0,0.0,0.0,0.8291562,0.043277077,0.0200825,0.023180075,0.117426254,0.9868346,0.3258718
46,0.40509304,0.9392397,0.6420587,0.3177101,0.0,0.0,0.0,0.0,0.8637672,0.043210335,0.02027916,0.022381188,0.11735821,0.97446066,0.33069903
47,0.377324,0.9398877,0.6873115,0.34596583,0.0,0.0,0.0,0.0,0.8637672,0.04090159,0.020175725,0.022753034,0.1155271,0.97818965,0.32431403
48,0.34397185,0.9431189,0.7283717,0.3730385,0.0,0.0,0.0,0.0,0.875,0.040653437,0.019979527,0.022208365,0.11500575,0.98129994,0.3234787
49,0.3253138,0.9437431,0.73620737,0.39419156,0.0,0.0,0.0,0.0,0.89921844,0.038516678,0.019091433,0.022118237,0.113037266,0.9763999,0.3267497
50,0.33366105,0.9427258,0.72319,0.43384063,0.0,0.0,0.0,0.0,0.89921844,0.03655962,0.01576306,0.021865174,0.10329936,0.98350286,0.3071136
51,0.3343153,0.9427258,0.69817066,0.49253878,0.0,0.0,0.0,0.0,0.9121575,0.03384614,0.015220857,0.02361158,0.10319016,0.9829856,0.312742
52,0.33163956,0.9433897,0.69694513,0.55141723,0.0,0.0,0.0,0.0,0.9354144,0.031386703,0.015220071,0.023316717,0.10607461,0.97217673,0.31766117
53,0.37766135,0.92058766,0.69325745,0.59827566,0.0,0.0,0.0,0.0,0.9354144,0.029409464,0.013948924,0.02328177,0.09809404,0.982659,0.30040264
54,0.43603647,0.8908483,0.69343495,0.64757675,0.0,0.0,0.0,0.0,0.9457966,0.022026157,0.01245391,0.02146858,0.098167025,0.98455185,0.30393702
55,0.4909052,0.8697699,0.703577,0.687759,0.0,0.0,0.0,0.0,0.9722718,0.022224389,0.013287202,0.021484368,0.10457568,0.97228765,0.31542712
56,0.51265323,0.8663227,0.7455986,0.6947371,0.0,0.0,0.0,0.0,0.9722718,0.023203699,0.0137462495,0.021503264,0.101412326,0.9709534,0.31127217
57,0.51737124,0.87802804,0.78639513,0.6989019,0.0,0.0,0.0,0.0,0.9901862,0.025332205,0.015023008,0.021687722,0.10110025,0.97133213,0.31586584
58,0.52270293,0.91179734,0.8229106,0.69887877,0.0,0.0,0.0,0.0,0.97827977,0.024806464,0.015272905,0.02163144,0.095762394,0.9649784,0.31857628
