,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
34,0.09812176,-1.0,-0.9428936,-0.5768758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1168213,-1.183472,-0.2283936
35,0.1374799,-1.0,-0.9340156,-0.5763075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1357422,-1.162598,-0.3427734
36,0.1532514,-1.0,-0.933445,-0.5680113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1220703,-1.125,-0.3641357
37,0.1611441,-1.0,-0.9412041,-0.5520143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1182861,-1.139771,-0.3803711
38,0.1769445,-1.0,-0.953648,-0.4708884,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1549072,-1.133911,-0.3468018
39,0.1848525,-1.0,-0.9491243,-0.3977658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.163208,-1.083252,-0.3109131
40,0.1927661,-1.0,-0.9017025,-0.1741486,0.0,0.0,0.0,0.0,1.0,-0.07058785,0.03944615,0.01476347,-0.1473389,-1.020264,-0.3449707
41,0.2006854,-1.0,-0.8341322,-0.04189705,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.170166,-0.9912109,-0.3466797
42,0.2006854,-1.0,-0.780029,0.1017429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1838379,-0.9179688,-0.3405762
43,0.2006854,-1.0,-0.6537858,0.3698559,0.0,0.0,0.0,0.0,1.0,-0.05872311,0.04572906,-0.07546544,-0.1311035,-0.7347412,-0.368042
44,0.2006854,-1.0,-0.605908,0.4930059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09692383,-0.7963867,-0.4089355
45,0.2006854,-1.0,-0.560015,0.6209689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02307129,-0.8085938,-0.4398193
46,0.2086106,-1.0,-0.4955541,0.8311262,0.0,0.0,0.0,0.0,1.0,-0.01974257,0.01449454,-0.1389477,0.07739258,-0.8312988,-0.6187744
47,0.2086106,-1.0,-0.4909996,0.8837993,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1273193,-0.8269043,-0.6837158
48,0.2006854,-1.0,-0.4932755,0.9194655,0.0,0.0,0.0,0.0,1.0,0.02574031,-0.0422341,-0.1369484,0.1365967,-0.8530273,-0.5921631
49,0.2006854,-1.0,-0.4932755,0.9194655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08007813,-0.8739014,-0.4938965
