,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
17,0.8167803,0.67162365,0.74807537,0.6385681,0.0,0.0,0.0,0.0,0.0,0.25995752,0.44268158,0.3069788,0.2730339,0.8735865,0.4210118
18,0.8376114,0.6695813,0.7736038,0.6505698,0.0,0.0,0.0,0.0,0.0,0.3061048,0.47734767,0.36365813,0.30549976,0.87961036,0.38295373
19,0.84007657,0.6660411,0.73284405,0.7075584,0.0,0.0,0.0,0.0,0.0,0.30945,0.4855488,0.37762436,0.33400548,0.89929724,0.34332988
20,0.8597462,0.66370064,0.674666,0.7312354,0.0,0.0,0.0,0.0,0.0,0.2975662,0.48625302,0.37304032,0.3603691,0.90978044,0.33788654
21,0.81101346,0.723827,0.68632483,0.66966486,0.0,0.0,0.0,0.0,0.0,0.33491617,0.50173444,0.39029205,0.3703812,0.91640204,0.29866412
22,0.8397001,0.6857278,0.61541516,0.7539892,0.0,0.0,0.0,0.0,0.0,0.3802683,0.6518783,0.506081,0.36534125,0.91447353,0.29486686
23,0.7483948,0.7857261,0.62298673,0.78316927,0.0,0.0,0.0,0.0,0.0,0.38012478,0.62656325,0.5065934,0.38141868,0.8937222,0.3220289
24,0.7069956,0.80805886,0.54019994,0.8202044,0.0,0.0,0.0,0.0,0.0,0.29289553,0.58820295,0.47302452,0.40942585,0.8667991,0.36212212
25,0.6531827,0.856515,0.5703716,0.7595803,0.0,0.0,0.0,0.0,0.0,0.2980077,0.6204128,0.45166737,0.4197188,0.86494315,0.42890307
26,0.72925454,0.7909786,0.560011,0.8012869,0.0,0.0,0.0,0.0,0.0,0.29621547,0.6616785,0.47979987,0.43074903,0.8229396,0.42582133
27,0.72613984,0.8020535,0.6159263,0.79262525,0.0,0.0,0.0,0.0,0.0,0.30300298,0.71330863,0.5678171,0.46489355,0.76543605,0.452616
28,0.6762645,0.8509104,0.68688065,0.7740991,0.0,0.0,0.0,0.0,0.0,0.38110092,0.6479887,0.56778115,0.46071923,0.83323365,0.44535312
29,0.732598,0.82655114,0.72109795,0.71004474,0.0,0.0,0.0,0.0,0.0,0.3948692,0.65346986,0.57578844,0.47282553,0.8403831,0.4096552
30,0.8004399,0.7574915,0.71639454,0.7561405,0.0,0.0,0.0,0.0,0.0,0.37997726,0.6262171,0.63734734,0.40502635,0.881624,0.36918285
31,0.8712621,0.65863043,0.76061434,0.73798144,0.0,0.0,0.0,0.0,0.0,0.50203973,0.5769523,0.62700075,0.36797056,0.925389,0.34292996
32,0.813997,0.7136509,0.7205367,0.6818164,0.0,0.0,0.0,0.0,0.0,0.6793121,0.49638417,0.665523,0.3362432,0.907053,0.38082638
33,0.76428866,0.7582588,0.6547155,0.659341,0.0,0.0,0.0,0.0,0.0,0.7976807,0.47630247,0.6780279,0.27623728,0.9787584,0.35970235
34,0.78073037,0.76010907,0.6042599,0.5750527,0.0,0.0,0.0,0.0,0.0,0.7596065,0.3614214,0.56470484,0.29516727,0.94041187,0.36225805
35,0.7376752,0.7883963,0.6100432,0.58338183,0.0,0.0,0.0,0.0,0.0,0.75587785,0.29532713,0.5366494,0.26859513,0.9804751,0.35249498
36,0.7427252,0.7724219,0.66831696,0.464244,0.0,0.0,0.0,0.0,0.0,0.75708985,0.28396997,0.48037294,0.22604845,0.99646235,0.3586577
37,0.7381528,0.7857161,0.63482517,0.36511418,0.0,0.0,0.0,0.0,0.0,0.7175241,0.22101185,0.42103934,0.24715559,0.9779581,0.33295807
38,0.7102203,0.8253877,0.6759237,0.3476579,0.0,0.0,0.0,0.0,0.0,0.6226989,0.25591412,0.35631663,0.2591168,1.0152861,0.26570782
39,0.7008469,0.8253877,0.6834012,0.2276651,0.0,0.0,0.0,0.0,0.0,0.3936551,0.23282675,0.30130848,0.2576843,0.9933195,0.29233173
40,0.67909193,0.82582253,0.7039437,0.23314333,0.0,0.0,0.0,0.0,0.0,0.34577212,0.19888127,0.26810876,0.21971776,1.0031708,0.29315415
41,0.69921315,0.8225858,0.6220014,0.21776865,0.0,0.0,0.0,0.0,0.0,0.30628693,0.18341103,0.28404722,0.2518551,0.97200894,0.3047543
42,0.6022661,0.89357704,0.5112088,0.2693194,0.0,0.0,0.0,0.0,0.0,0.31230608,0.18677151,0.4136146,0.26832134,0.97973996,0.31088987
43,0.46082848,0.9622578,0.48949057,0.29792598,0.0,0.0,0.0,0.0,0.0,0.30271885,0.18734789,0.41023764,0.25808942,0.9790213,0.30514565
44,0.389685,0.99711025,0.39600357,0.36299938,0.0,0.0,0.0,0.0,0.0,0.21287507,0.12884763,0.43169522,0.2500901,0.9895839,0.2946193
45,0.502628,0.95926607,0.3854439,0.37379402,0.0,0.0,0.0,0.0,0.0,0.2893494,0.22382133,0.42073208,0.23949352,0.9728322,0.2568526
46,0.51863945,0.9542445,0.32551774,0.37966248,0.0,0.0,0.0,0.0,0.0,0.5050861,0.30708018,0.42640018,0.28028917,1.0033734,0.202531
