,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
14226,-0.3686016,-1.0,-0.4375197,0.401949,0.0,0.0,0.0,0.02490234,-1.046631,-0.1622314
14227,-0.3524597,-1.0,-0.4205575,0.3371412,0.0,0.0,0.0,-0.08886719,-1.026001,-0.1303711
14228,-0.3444016,-1.0,-0.3921797,0.3103335,0.0,0.0,0.0,-0.1520996,-1.067383,0.08862305
14229,-0.336352,-1.0,-0.3472682,0.2811219,0.0,0.0,0.0,0.05505371,-0.9731445,-0.2286377
14230,-0.3202776,-1.0,-0.3067798,0.2744872,0.09646368,0.0674746,-0.04623259,-0.05993652,-0.9707031,-0.1181641
14231,-0.3122526,-1.0,-0.2829929,0.2702741,0.0,0.0,0.0,-0.03442383,-0.9445801,-0.1259766
14232,-0.3042357,-1.0,-0.2307961,0.2677235,0.0,0.0,0.0,-0.02319336,-0.9558105,-0.1265869
14233,-0.2882255,-1.0,-0.2141859,0.3356644,0.0,0.0,0.0,-0.0526123,-0.9547119,-0.09399414
14234,-0.2802319,-1.0,-0.2015331,0.4611351,0.1307008,0.02324125,0.007247271,-0.05712891,-0.9810791,0.03491211
14235,-0.2642672,-1.0,-0.2053545,0.5944474,0.0,0.0,0.0,-0.1219482,-1.015747,0.1125488
14236,-0.2403741,-1.0,-0.1969326,0.8842661,0.0,0.0,0.0,-0.05444336,-0.9923096,-0.005249023
14237,-0.2244794,-1.0,-0.1848525,1.0,0.0,0.0,0.0,0.02563477,-0.9544678,0.03283691
14238,-0.1927661,-1.0,-0.1769445,1.0,0.0,0.0,0.0,0.08972168,-1.097046,-0.112793
14239,-0.1532514,-1.0,-0.1690417,1.0,-0.007747083,-0.06997365,0.0167437,-0.01257324,-1.076904,-0.1018066
14240,-0.1374799,-1.0,-0.1611441,1.0,0.0,0.0,0.0,-0.002807617,-1.064087,-0.1574707
14241,-0.1217254,-1.0,-0.1532514,1.0,0.0,0.0,0.0,-0.01123047,-1.067749,-0.1252441
14242,-0.09812176,-1.0,-0.1532514,1.0,0.0,0.0,0.0,-0.02539063,-1.040405,-0.1363525
14243,-0.09026043,-1.0,-0.1532514,1.0,0.0,0.0,0.0,-0.004638672,-1.031006,-0.1317139
14244,-0.08240198,-1.0,-0.1611441,1.0,0.0,0.0,0.0,0.0345459,-0.9708252,-0.144043
14245,-0.08240198,-1.0,-0.218903,0.8487294,0.05273015,0.003248777,0.003998494,-0.05102539,-1.045288,-0.07116699
14246,-0.08240198,-1.0,-0.2589311,0.7242565,0.0,0.0,0.0,0.0604248,-1.039429,-0.01257324
14247,-0.08240198,-1.0,-0.2894179,0.5323861,0.04848175,0.05023109,-0.01499435,-0.0003662109,-1.03186,-0.01245117
14248,-0.08240198,-1.0,-0.3005741,0.4318593,0.0,0.0,0.0,-0.03723145,-1.044189,-0.05358887
14249,-0.08240198,-1.0,-0.2862118,0.3322689,0.0,0.0,0.0,-0.05810547,-0.9844971,-0.08544922
