,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
5001,0.0,0.0,1.0,-0.09812176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01416016,-1.031616,-0.2928467
5002,0.0,0.0,1.0,-0.1611441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01928711,-1.024414,-0.3590088
5003,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06286621,-1.039673,-0.4316406
5004,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07202148,-0.9349365,-0.4836426
5005,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08483887,-0.8508301,-0.5385742
5006,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1184082,-0.8284912,-0.5671387
5007,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,-0.03023862,-0.0294889,-0.03048852,0.1253662,-0.7955322,-0.5977783
5008,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1188965,-0.7766113,-0.6105957
5009,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08190918,-0.8452148,-0.5802002
5010,0.0,0.0,1.0,-0.1848525,0,0.0,0.0,0.0,1.0,0.08571074,-0.05047688,-0.04597894,0.07910156,-0.8266602,-0.5471191
5011,0.0,0.0,1.0,-0.1769445,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1342773,-0.8251953,-0.550415
5012,0.0,0.0,1.0,-0.1690417,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1647949,-0.8430176,-0.5015869
5013,0.0,0.0,1.0,-0.1611441,0,0.0,0.0,0.0,0.0,0.1245558,-0.03506015,-0.006458449,0.1656494,-0.9241943,-0.4301758
5014,0.0,0.0,1.0,-0.09026043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08361816,-0.9302979,-0.4227295
5015,0.0,0.0,0.9171448,0.04256791,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02954102,-0.9176025,-0.3692627
5016,0.0,0.0,0.736842,0.1683142,0,0.0,0.0,0.0,0.0,0.06412882,0.004844264,-0.01545551,0.03308105,-0.8707275,-0.331543
5017,0.0,0.0,0.6233374,0.2296506,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05383301,-0.8937988,-0.3618164
5018,0.0,0.0,0.4791898,0.2763211,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0793457,-0.9620361,-0.3804932
5019,0.0,0.0,0.3390934,0.2798343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1153564,-1.000366,-0.3898926
