,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
19,0.7748106,0.7291903,0.68852544,0.63780195,0.0,0.0,0.0,0.0,0.0,0.543754,0.38853592,0.49350643,0.30278236,0.9695848,0.36644033
20,0.76985544,0.72160566,0.7196022,0.5990857,0.0,0.0,0.0,0.0,0.0,0.53385055,0.3637585,0.41302472,0.2998276,0.96212256,0.37996584
21,0.7807006,0.7103695,0.68587965,0.63591915,0.0,0.0,0.0,0.0,0.0,0.52541184,0.36038944,0.3890895,0.2952582,0.93927217,0.38239768
22,0.782507,0.711182,0.68358856,0.6385301,0.0,0.0,0.0,0.0,0.0,0.47608384,0.34344524,0.35152525,0.28822803,0.9567582,0.37641945
23,0.7992312,0.68066263,0.7021355,0.6160165,0.0,0.0,0.0,0.0,0.0,0.4638658,0.29344717,0.29047966,0.29514092,0.93802726,0.37073445
24,0.8038889,0.6794844,0.71347463,0.6057702,0.0,0.0,0.0,0.0,0.0,0.49012733,0.36386615,0.33449045,0.30512905,0.9452242,0.36814865
25,0.82427394,0.67313653,0.71984184,0.6359076,0.0,0.0,0.0,0.0,0.0,0.48419797,0.38540286,0.34047094,0.30491236,0.940319,0.35793042
26,0.8245172,0.66958565,0.70472354,0.643835,0.0,0.0,0.0,0.0,0.0,0.4803814,0.374911,0.324252,0.30329868,0.9358621,0.36228758
27,0.83156586,0.65962493,0.7050323,0.6428132,0.0,0.0,0.0,0.0,0.0,0.4830765,0.37286592,0.31787494,0.29437023,0.94862944,0.37095267
28,0.8162658,0.6823375,0.7030595,0.64359266,0.0,0.0,0.0,0.0,0.0,0.5002512,0.4405883,0.37031308,0.29105094,0.9341215,0.37494555
29,0.7958197,0.6999784,0.7010597,0.6465241,0.0,0.0,0.0,0.0,0.0,0.49727318,0.45886615,0.3824161,0.2950519,0.92150164,0.38558978
30,0.7986804,0.7184098,0.68798906,0.6615832,0.0,0.0,0.0,0.0,0.0,0.503768,0.48141655,0.39570245,0.33926073,0.91550064,0.39901394
31,0.76978695,0.7532269,0.6834836,0.6845391,0.0,0.0,0.0,0.0,0.0,0.4857075,0.5093376,0.4138281,0.35480237,0.87988317,0.40485933
32,0.7738324,0.7449274,0.67960936,0.7095887,0.0,0.0,0.0,0.0,0.0,0.383362,0.53649974,0.4009828,0.36940983,0.8873476,0.4009795
33,0.7822804,0.7398582,0.67481166,0.7345524,0.0,0.0,0.0,0.0,0.0,0.27938464,0.53760964,0.39971194,0.38424447,0.8673741,0.40054268
34,0.7647031,0.75731474,0.67645866,0.7504999,0.0,0.0,0.0,0.0,0.0,0.34088588,0.57183063,0.47805205,0.3788403,0.8677748,0.39235097
35,0.76255906,0.7677187,0.6862736,0.7324871,0.0,0.0,0.0,0.0,0.0,0.35001054,0.5830842,0.48688293,0.38523966,0.8795997,0.3819005
36,0.7900943,0.7515075,0.6595663,0.75338954,0.0,0.0,0.0,0.0,0.0,0.3485625,0.5830014,0.5092514,0.39783755,0.86833763,0.36802277
37,0.7923252,0.7436727,0.6790869,0.73856753,0.0,0.0,0.0,0.0,0.0,0.37556392,0.5937684,0.53194493,0.39625403,0.894997,0.3640449
38,0.7993758,0.72563916,0.67752457,0.7321709,0.0,0.0,0.0,0.0,0.0,0.45339245,0.5942827,0.55824727,0.39161128,0.8809253,0.37471732
