,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
20,0.62839544,0.87973154,0.45930606,0.61964285,0.057190195,0.026335213,0.040791128,0.15580422,1.0087292,0.22689842
21,0.511196,0.9288231,0.2730144,0.57858944,0.056618292,0.034457903,0.043530885,0.18028957,0.9924642,0.2915098
22,0.5607629,0.88932824,0.199095,0.51765907,0.05248823,0.044773355,0.046325713,0.18863417,0.99538034,0.33251643
23,0.5973192,0.8525791,0.14586331,0.4315058,0.051373076,0.05505815,0.04208787,0.20105664,1.0058417,0.35657743
24,0.62504333,0.8450634,0.107574075,0.3667593,0.058378376,0.07391292,0.053443693,0.21975991,1.0047482,0.4248276
25,0.6482959,0.81468093,0.09194398,0.29690182,0.06078038,0.07501361,0.05387291,0.21451366,1.020007,0.43078962
26,0.62108606,0.823496,0.06773208,0.17089549,0.06158204,0.07092522,0.052706778,0.2107075,1.012922,0.42089686
27,0.64379287,0.8160638,0.051251233,0.15106012,0.063165225,0.06645278,0.046671446,0.20780224,1.0032933,0.42164263
28,0.67403334,0.77165234,0.02148267,0.1531275,0.058443632,0.047581766,0.039650552,0.18982832,1.0094086,0.3570223
29,0.64101577,0.8111928,0.3070745,0.34455052,0.051387038,0.03642839,0.033903323,0.1689628,1.0032648,0.29160827
30,0.60325634,0.8383502,0.3539451,0.47029427,0.04412194,0.032523535,0.03221046,0.1597991,1.0069146,0.25104386
31,0.52687216,0.8421658,0.36048067,0.5637471,0.047401533,0.028506415,0.032659035,0.13637352,1.0103786,0.1993047
32,0.594304,0.81261194,0.4879357,0.56904197,0.04326418,0.020185547,0.024018979,0.11301441,1.0090727,0.1635773
33,0.75045437,0.7335265,0.43778634,0.60507935,0.045699574,0.03307567,0.03115207,0.113201424,1.0049398,0.19350262
34,0.8036621,0.68311965,0.45896465,0.5588417,0.062227573,0.037266634,0.05615663,0.10820021,0.99983394,0.23565711
35,0.9239984,0.54842657,0.5556851,0.4947099,0.06654253,0.036157206,0.057335958,0.10698924,0.99640226,0.2336198
36,0.83405584,0.6818638,0.4777461,0.50395256,0.06494408,0.038820043,0.05675909,0.10169195,0.9947912,0.23411934
37,0.79707706,0.65903145,0.4373305,0.4268452,0.062228993,0.02876294,0.05419681,0.082529224,0.9950272,0.23446336
38,0.7232346,0.7309491,0.45708534,0.38043043,0.04651355,0.02293612,0.02798656,0.08284264,0.9950824,0.21574913
39,0.6032568,0.802439,0.32576135,0.34008723,0.03420749,0.020852355,0.021692486,0.085589565,0.9964969,0.22309962
40,0.65041983,0.7599016,0.2794076,0.27745837,0.037235875,0.019132286,0.02259087,0.094354816,0.98785937,0.23603728
41,0.59397763,0.8249758,0.2600828,0.10571244,0.043470968,0.023340419,0.023229081,0.11024343,0.99319124,0.23664972
