Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
5.89004,0.8438712,0.7798811,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.2194824,-1.269531,-0.04260254,0,0,0,0,0,0
5.90004,0.7719339,0.851927,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.3140869,-0.9742432,0.2410889,0,0,0,0,0,0
5.91004,0.7566752,0.8767824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.08251953,-1.115601,-0.01965332,0,0,0,0,0,0
5.920041,0.7238518,0.8918174,0.04592003,0.04592003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.03027344,-1.037354,-0.2144775,0,0,0,0,0,0
5.930041,0.691781,0.91571,0.211648,0.1511771,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.07397461,-0.9929199,-0.1534424,0,0,0,0,0,0
5.940041,0.6755022,0.9233196,0.3170559,0.1569888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0267334,-0.9753418,-0.1113281,0,0,0,0,0,0
5.950041,0.6598403,0.9397725,0.4649353,0.01672429,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.08032227,-1.034302,0.05566406,0,0,0,0,0,0
5.960042,0.6436275,0.9474515,0.6925092,-0.3106933,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1187053,0.01874294,-0.004748212,0.05065918,-0.9049072,-0.1530762,0,0,0,0,0,0
5.970042,0.6358177,0.9557259,0.8606791,-0.6544335,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09960938,-0.8392334,-0.248291,0,0,0,0,0,0
5.980042,0.6035143,0.9712184,0.8662497,-0.7305239,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1149567,0.02299134,-0.02923899,-0.2381592,-0.9208984,0.03540039,0,0,0,0,0,0
5.990042,0.579634,0.9873765,0.8581596,-0.7384164,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.05224609,-0.9608154,-0.2010498,0,0,0,0,0,0
6.000042,0.563032,0.9863042,0.8185484,-0.7866051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0357666,-0.9400635,-0.2939453,0,0,0,0,0,0
6.010043,0.5552751,0.9947014,0.7463182,-0.8500843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1102647,-0.02606675,0.024452,0.01086426,-0.9400635,-0.1829834,0,0,0,0,0,0
6.020043,0.5469962,0.9941757,0.7056823,-0.8731322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005249023,-0.9951172,-0.09521484,0,0,0,0,0,0
6.030043,0.547518,1,0.625725,-0.9286237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05480957,-0.9887695,-0.1011963,0,0,0,0,0,0
6.040043,0.5387272,0.9936524,0.5371357,-0.9668443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07866162,0.02837355,0.0422143,-0.07824707,-1.119141,-0.05859375,0,0,0,0,0,0
6.050044,0.547518,1,0.497528,-0.9910758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07836914,-1.092529,-0.1037598,0,0,0,0,0,0
6.060044,0.5392466,1,0.4091095,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05700684,-1.014771,-0.1446533,0,0,0,0,0,0
6.070044,0.5392466,1,0.3283107,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0592277,0.006497554,0.01649379,-0.01916504,-1.019043,-0.1577148,0,0,0,0,0,0
6.080044,0.5392466,1,0.2403741,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02258301,-0.9827881,-0.1407471,0,0,0,0,0,0
6.090044,0.5232409,1,0.1239335,-0.7623788,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1130371,-1.011475,-0.03210449,0,0,0,0,0,0
6.100045,0.4825947,1,0.01192133,-0.188357,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.1362305,-1.126831,0.04309082,0,0,0,0,0,0
6.110045,0.4498426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0009996236,-0.009996235,-0.04423334,-0.01745605,-0.9445801,-0.1456299,0,0,0,0,0,0
