Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
34.72018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002172145,-0.005286213,0.000922717,-0.03039551,-1.006348,-0.07043457,0,0,0,0,0,0
34.73018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004997711,-0.002498855,-0.001999084,-0.03198242,-1.002808,-0.0736084,0,0,0,0,0,0
34.74018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995422,-0.004497981,-0.01049515,-0.03112793,-1.00293,-0.07373047,0,0,0,0,0,0
34.75018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003575427,-0.002652709,-0.01174503,-0.03210449,-1.005859,-0.07446289,0,0,0,0,0,0
34.76017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004382906,0.0002306792,-0.004613584,-0.03283691,-1.015381,-0.06298828,0,0,0,0,0,0
34.77017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005497421,0.001691519,-0.002594928,-0.03210449,-1.029541,-0.06347656,0,0,0,0,0,0
34.78017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.845332E-05,0.00073043,0.0002306589,-0.0300293,-1.026611,-0.06408691,0,0,0,0,0,0
34.79017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004325083,-0.0007304503,0.0009611296,-0.03186035,-1.020386,-0.06298828,0,0,0,0,0,0
34.80017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001999084,-0.001249428,-0.0002498855,-0.03137207,-1.016724,-0.0637207,0,0,0,0,0,0
34.81017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008111982,-0.002883389,0.001191809,-0.02966309,-1.015381,-0.06518555,0,0,0,0,0,0
34.82016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0108031,-0.003575427,0.001460901,-0.03051758,-1.004639,-0.06787109,0,0,0,0,0,0
34.83016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00868866,-0.004325083,0.0002306589,-0.02978516,-0.9929199,-0.06787109,0,0,0,0,0,0
34.84016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004286589,-0.003133295,-0.0009803766,-0.03015137,-0.996582,-0.06762695,0,0,0,0,0,0
34.85016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0009995422,-0.0009995422,-0.00224897,-0.03210449,-0.9989014,-0.0657959,0,0,0,0,0,0
34.86016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002306792,-0.001384075,-0.03125,-1.002808,-0.06384277,0,0,0,0,0,0
